Arachis_gene_ID,queryarachis_gene_ID,Percent_identity,Alignment_length,Mismatches,Gap_opens,Q_start,Q_end,S_start,S_end,E_value,Bit_score
XM_029293563.1,XM_025829949.1,99.001,2202,0,1,1,2202,89,2268,0.0,3925.0
XM_029293563.1,XM_025829949.1,100.0,982,0,0,2579,3560,2267,3248,0.0,1814.0
XM_029297715.1,XM_025841100.2,100.0,1018,0,0,129,1146,336,1353,0.0,1881.0
XM_029297715.1,XM_025841100.2,100.0,129,0,0,1,129,176,304,1.02e-62,239.0
XM_025829224.2,XM_025814967.3,94.756,3661,163,12,10,3664,1041,4678,0.0,5670.0
XM_025833632.2,XM_025760256.3,81.294,1700,253,42,198,1845,309,1995,0.0,1317.0
XM_025833940.2,XM_025782091.3,99.296,7243,48,3,3071,10311,3041,10282,0.0,13090.0
XM_025833940.2,XM_025782091.3,98.812,3030,28,3,1,3024,15,3042,0.0,5389.0
XM_029293196.1,XM_025767347.2,93.342,1607,107,0,1,1607,567,2173,0.0,2375.0
XM_029293196.1,XM_025767347.2,95.907,904,35,2,1738,2639,2176,3079,0.0,1463.0
DQ889568.1,XM_025842799.3,99.858,703,0,1,2,704,522,1223,0.0,1291.0
XM_025844838.1,XM_025844838.2,100.0,673,0,0,1,673,50,722,0.0,1243.0
XM_025750901.2,XM_025750902.2,99.367,4106,0,1,1,4080,15,4120,0.0,7415.0
XM_025759948.2,XM_025841585.1,98.945,2181,23,0,227,2407,130,2310,0.0,3901.0
XM_025756394.2,XM_025751416.2,79.25,853,169,7,320,1168,247,1095,1.05e-167,588.0
XM_029288401.1,XM_029288410.1,99.188,1108,0,1,242,1349,552,1650,0.0,1988.0
XM_029288401.1,XM_029288410.1,97.287,258,2,2,1,254,135,391,4.86e-121,433.0
XM_029287394.1,XM_025766050.3,89.691,97,8,2,225,321,25,119,2.78e-27,122.0
XM_025768501.2,XM_025827757.2,98.993,1490,15,0,229,1718,188,1677,0.0,2669.0
XM_029290584.1,XM_029291304.1,85.277,3525,377,58,3975,7392,298,3787,0.0,3504.0
XM_025832194.2,XM_029288961.1,99.048,105,1,0,3012,3116,906,1010,2.86e-47,189.0
XM_025776166.2,XR_003169292.1,95.333,150,7,0,2769,2918,36,185,6.13e-62,239.0
XM_025776166.2,XR_003169292.1,96.581,117,4,0,3135,3251,184,300,1.3499999999999999e-48,195.0
XM_025776135.2,XM_025776134.3,99.639,1661,0,1,1,1661,8,1662,0.0,3029.0
XM_025775755.2,XM_025775750.1,87.469,2019,222,18,214,2209,15,2025,0.0,2298.0
XM_025775755.2,XM_025775750.1,80.843,1874,328,21,2067,3929,2024,3877,0.0,1443.0
XM_025775755.2,XM_025775750.1,82.727,440,65,10,3915,4346,3793,4229,6.57e-105,381.0
XM_025775755.2,XM_025775750.1,89.796,98,4,3,4504,4597,4250,4345,1.58e-26,121.0
XR_003812989.1,XM_025787873.2,100.0,2209,0,0,471,2679,427,2635,0.0,4080.0
XR_003812989.1,XM_025787873.2,100.0,426,0,0,1,426,1,426,0.0,787.0
XM_025777577.2,XM_025777577.3,100.0,1147,0,0,1,1147,257,1403,0.0,2119.0
XR_003203764.1,XM_025833243.3,96.092,435,11,2,342,776,138,566,0.0,704.0
XR_003203764.1,XM_025833243.3,96.308,325,12,0,956,1280,566,890,1.23e-151,534.0
XM_025833171.2,XM_025836118.3,86.555,476,62,2,114,588,325,799,1.62e-148,523.0
XM_029287581.1,XM_025749731.2,100.0,3289,0,0,2690,5978,2482,5770,0.0,6074.0
XM_029287581.1,XM_025749731.2,100.0,2482,0,0,2,2483,1,2482,0.0,4584.0
XM_029287581.1,XM_025749731.2,96.569,787,17,6,3093,3874,3666,2885,0.0,1295.0
