Arachis_gene_ID,Lotus_gene_ID,Percent_identity,Alignment_length,Mismatches,Gap_opens,Q_start,Q_end,S_start,S_end,E_value,Bit_score
XM_025756694.2,XM_057577867.1,83.977,2796,422,24,750,3532,1042,3824,0.0,2658.0
XM_025756694.2,XM_057580306.1,81.885,1507,254,17,732,2230,856,2351,0.0,1253.0
XM_025756694.2,XM_057580310.1,81.86,1505,254,17,732,2228,896,2389,0.0,1249.0
XM_025756694.2,XM_057580307.1,81.86,1505,254,17,732,2228,897,2390,0.0,1249.0
XM_029293563.1,XM_057560009.1,79.647,1587,271,34,493,2047,508,2074,0.0,1094.0
XM_029293563.1,XM_057560008.1,79.647,1587,271,34,493,2047,508,2074,0.0,1094.0
XM_029297715.1,XM_057593013.1,86.922,627,82,0,242,868,504,1130,0.0,704.0
XM_025842257.2,XM_057593614.1,92.644,1006,74,0,379,1384,137,1142,0.0,1448.0
XM_025842257.2,XM_057565917.1,87.736,1166,136,6,379,1542,263,1423,0.0,1354.0
XM_025841696.2,XM_057566192.1,83.733,1002,140,12,712,1691,356,1356,0.0,926.0
XM_025761881.2,XM_057560336.1,75.322,1009,196,32,2398,3364,2027,3024,1.81e-120,435.0
XM_025761881.2,XM_057560331.1,75.322,1009,196,32,2398,3364,2560,3557,1.81e-120,435.0
XM_025761881.2,XM_057560334.1,75.322,1009,196,32,2398,3364,2159,3156,1.81e-120,435.0
XM_025830688.2,XM_057561217.1,86.691,1360,173,7,195,1547,192,1550,0.0,1502.0
XM_025830688.2,XM_057593458.1,85.451,1354,195,2,195,1547,171,1523,0.0,1408.0
XM_025755946.2,XM_057561026.1,87.324,2627,331,2,443,3068,296,2921,0.0,3005.0
XM_025755946.2,XM_057561024.1,87.324,2627,331,2,443,3068,428,3053,0.0,3005.0
XM_025792106.2,XM_057589302.1,87.596,4176,476,28,672,4818,495,4657,0.0,4804.0
XM_025829224.2,XM_057598637.1,84.88,3340,487,17,336,3667,446,3775,0.0,3354.0
XM_025832866.1,XM_057586925.1,79.464,1120,200,22,294,1395,333,1440,0.0,767.0
XM_025832866.1,XM_057586926.1,79.871,621,110,15,294,905,333,947,1.87e-122,440.0
XM_025834139.1,XM_057562499.1,86.662,1297,162,6,225,1515,293,1584,0.0,1426.0
XM_025834139.1,XM_057562498.1,85.475,1315,162,7,225,1515,295,1604,0.0,1343.0
XM_025828015.1,XM_057597136.1,82.119,2293,391,13,430,2714,59,2340,0.0,1945.0
XM_025833632.2,XM_057567025.1,81.332,1682,257,38,200,1845,221,1881,0.0,1314.0
XM_025833632.2,XM_057567033.1,84.12,1335,191,14,524,1845,90,1416,0.0,1271.0
XM_025833632.2,XM_057560374.1,84.448,1151,172,5,706,1854,661,1806,0.0,1127.0
XM_025833632.2,XM_057560375.1,83.835,1163,169,9,706,1854,245,1402,0.0,1088.0
XM_025833940.2,XM_057559119.1,86.297,6590,833,45,3270,9806,743,7315,0.0,7103.0
XM_025833940.2,XM_057559119.1,81.142,753,110,13,2505,3236,1,742,3.14e-162,575.0
XM_025833940.2,XM_057559118.1,86.297,6590,833,45,3270,9806,3249,9821,0.0,7103.0
XM_025833940.2,XM_057559118.1,80.484,2147,376,34,1107,3236,1128,3248,0.0,1604.0
XM_025833940.2,XM_057559118.1,80.468,855,143,21,239,1078,185,1030,1.8400000000000003e-179,632.0
XM_025836150.2,XM_057563619.1,88.654,1137,128,1,524,1660,354,1489,0.0,1384.0
XM_025832329.2,XM_057601747.1,84.391,993,147,4,249,1240,208,1193,0.0,968.0
XM_025832329.2,XM_057601748.1,87.158,475,55,2,766,1240,651,1119,1.1199999999999999e-150,534.0
XM_025832329.2,XM_057601748.1,82.232,439,78,0,249,687,209,647,5.5699999999999997e-104,379.0
XM_025835070.2,XM_057597889.1,77.686,121,25,2,571,690,524,643,9.06e-12,73.1
XM_025781920.2,XM_057563949.1,87.602,2089,236,19,265,2343,216,2291,0.0,2401.0
XM_025781920.2,XM_057563948.1,87.572,2092,234,22,265,2343,216,2294,0.0,2399.0
XM_029297788.1,XM_057573711.1,83.088,2241,332,29,812,3038,740,2947,0.0,1995.0
XM_029297788.1,XM_057573711.1,84.0,400,59,4,416,811,281,679,9.469999999999999e-104,379.0
XM_029297788.1,XM_057560775.1,79.614,2487,446,42,812,3273,784,3234,0.0,1727.0
XM_025839478.2,XM_057580985.1,82.213,6398,1004,82,277,6613,225,6549,0.0,5387.0
XM_025839478.2,XM_057580984.1,82.213,6398,1004,82,277,6613,225,6549,0.0,5387.0
XM_025793560.2,XM_057583790.1,89.179,1109,115,4,139,1244,172,1278,0.0,1378.0
XM_025793560.2,XM_057583788.1,89.179,1109,115,4,139,1244,261,1367,0.0,1378.0
XM_025793560.2,XM_057583787.1,89.179,1109,115,4,139,1244,187,1293,0.0,1378.0
XM_025793560.2,XM_057583789.1,89.179,1109,115,4,139,1244,242,1348,0.0,1378.0
XM_025793560.2,XM_057583792.1,89.089,1109,116,4,139,1244,260,1366,0.0,1373.0
XM_025793560.2,XM_057583791.1,89.089,1109,116,4,139,1244,186,1292,0.0,1373.0
XM_025793560.2,XM_057583794.1,89.089,1109,116,4,139,1244,241,1347,0.0,1373.0
XM_025793560.2,XM_057575596.1,92.553,94,7,0,238,331,513,606,9.820000000000001e-31,135.0
XM_025793560.2,XM_057575594.1,92.553,94,7,0,238,331,513,606,9.820000000000001e-31,135.0
XM_025793560.2,XM_057575593.1,92.553,94,7,0,238,331,513,606,9.820000000000001e-31,135.0
XM_025793560.2,XM_057575591.1,92.553,94,7,0,238,331,513,606,9.820000000000001e-31,135.0
XM_025793560.2,XM_057585915.1,92.771,83,6,0,249,331,1,83,2.75e-26,121.0
XM_025793560.2,XM_057585910.1,92.771,83,6,0,249,331,1,83,2.75e-26,121.0
XM_025793560.2,XM_057585908.1,92.771,83,6,0,249,331,1,83,2.75e-26,121.0
XM_025846541.2,XM_057589800.1,83.536,741,104,9,173,913,146,868,0.0,676.0
XM_025842879.2,XM_057582240.1,92.683,41,3,0,1487,1527,1278,1318,8.06e-08,60.2
XM_025842160.2,XM_057592719.1,81.367,2356,418,16,1102,3442,610,2959,0.0,1899.0
XM_025797433.1,XM_057593408.1,86.709,474,48,9,162,633,114,574,2.1e-144,512.0
XM_025801464.2,XM_057597875.1,82.669,502,74,12,379,875,334,827,2.41e-120,433.0
XM_025844817.2,XM_057590685.1,77.342,1249,223,38,568,1794,379,1589,0.0,684.0
XM_025843720.2,XM_057592527.1,85.364,1059,148,7,947,2000,885,1941,0.0,1090.0
XM_025843720.2,XM_057573897.1,95.833,48,2,0,1897,1944,1786,1833,2.4e-13,78.7
XR_003202225.1,XM_057568622.1,84.57,337,50,1,795,1129,2477,2813,3.41e-90,333.0
XM_025842504.2,XM_057593248.1,82.907,2580,393,38,295,2862,536,3079,0.0,2278.0
XM_025750901.2,XM_057571948.1,86.185,4466,603,12,439,4894,263,4724,0.0,4817.0
XM_025750901.2,XM_057571946.1,86.149,4469,602,14,439,4894,264,4728,0.0,4807.0
XM_025750209.2,XM_057581570.1,82.353,884,148,8,1302,2181,1452,2331,0.0,761.0
